"codibge","Município","2012","2013","2014","2015","2016","2017","2018"
"1600238","Ferreira Gomes (AP)","106821","155000","190916","351803","347367","500103","533412"
"1600253","Itaubal (AP)","43609","47989","49264","57149","64691","65752","69178"
"1600279","Laranjal do Jari (AP)","468851","541838","559759","531997","791145","850713","902523"
"1600303","Macapá (AP)","7450351","8279310","8882333","9126377","9337264","9996021","10949649"
"1600402","Mazagão (AP)","177378","214913","207104","204408","228382","244725","258121"
"1600501","Oiapoque (AP)","245650","288112","283458","305452","345547","394531","426123"
"1600535","Porto Grande (AP)","244873","267558","273181","295789","315378","332009","340183"
"1600550","Pracuúba (AP)","50224","57776","58148","56518","61190","62942","67289"
"1600600","Santana (AP)","1476769","1819411","1883653","1936602","1758527","1910086","2070104"
"1600709","Tartarugalzinho (AP)","136170","194912","163100","165606","186856","202010","225272"
"1600808","Vitória do Jari (AP)","126790","151064","157186","147967","184625","184453","189400"
"1700251","Abreulândia (TO)","20746","26613","27178","37328","47386","56479","52402"
"1700301","Aguiarnópolis (TO)","80978","107771","87868","109236","134499","127038","124903"
"1700350","Aliança do Tocantins (TO)","52879","63294","64887","73158","94295","116126","103535"
"1700400","Almas (TO)","83699","93826","107424","119955","125463","151376","151995"
"1700707","Alvorada (TO)","197775","218020","227896","231814","270766","331677","271677"
"1701002","Ananás (TO)","76290","85113","86109","89900","108842","124894","131057"
"1701051","Angico (TO)","22557","28697","30646","40468","44036","35480","36055"
"1701101","Aparecida do Rio Negro (TO)","51983","59320","72660","71286","73533","91452","102280"
"1701309","Aragominas (TO)","42748","49741","53289","58663","63895","63243","64348"
"1701903","Araguacema (TO)","52350","58672","68914","74800","94605","133138","126453"
"1702000","Araguaçu (TO)","113535","121562","138334","158036","181290","186488","192401"
"1702109","Araguaína (TO)","2434281","2887139","3038315","3442013","3799312","4140528","4387503"
"1702158","Araguanã (TO)","44861","50347","52971","58972","66875","64696","66015"
"1702208","Araguatins (TO)","230764","286238","304914","329820","376397","390779","426292"
"1702307","Arapoema (TO)","72325","78412","86911","96251","106385","99454","288624"
"1702406","Arraias (TO)","120303","157478","137001","129116","143069","159682","185520"
"1702554","Augustinópolis (TO)","137688","165829","171729","190943","222277","235998","253786"
"1702703","Aurora do Tocantins (TO)","27212","31699","33875","37445","41487","40972","42071"
