codibge,UF,own_2011,own_2012,own_2013,own_2014,own_2015,own_2016,own_2017,own_2018,own_2019
431795,RS,162102.54,162674.83,151819.86,150722.19,163737.80,185479.75,136661.47,183829.17,242032.53
431800,RS,15075116.56,13997342.07,15900192.87,16473035.51,14920729.91,14697297.39,14550381.22,17905204.98,17725755.25
431805,RS,437155.65,475767.05,466465.77,574238.67,485362.94,447092.35,529801.77,579899.25,565260.03
431810,RS,3331302.45,3295433.29,4468381.24,4591859.16,3864563.89,3616931.11,3870245.56,4027045.10,4326130.65
431820,RS,5883810.05,7205731.33,6411464.95,6211383.81,6576666.02,7366445.71,6999801.13,5835528.66,7286739.54
431830,RS,13184890.72,13839952.45,13828743.41,13549146.05,13321262.98,14773067.16,15493802.37,15106532.01,17292083.39
431840,RS,3593337.20,3821407.69,4899808.54,4029597.06,4317516.40,4961119.68,4608604.70,5348067.39,4595343.08
431842,RS,461264.37,633129.77,935676.34,803424.62,747384.38,1003829.64,1071626.20,1103715.49,1295921.79
431843,RS,780131.59,848667.57,1091550.33,1336267.00,1275904.20,1260315.68,1404256.48,1761999.48,2236310.05
431844,RS,239339.91,292935.96,294139.62,350241.61,300474.90,360656.64,447315.53,464371.71,517673.26
431845,RS,172691.29,129651.64,168475.19,312364.07,147200.68,203298.60,239788.19,297844.51,297292.01
431846,RS,911309.79,1308967.76,777943.50,297656.68,253859.45,220923.04,273972.93,299705.36,243656.73
431848,RS,488503.67,588514.30,522164.26,510672.22,774321.89,741500.81,942467.33,691929.10,787187.18
431849,RS,273721.41,340362.75,364976.10,344762.25,318754.94,347776.21,624193.68,440205.32,386729.60
431850,RS,6089280.79,3715667.36,4915050.83,14557845.90,11070081.29,8365501.32,6478460.93,5486458.31,6430718.02
431860,RS,997040.32,1016536.93,953033.15,1256274.58,1176081.66,1160732.38,1223394.88,1486429.26,1541386.79
431861,RS,338247.92,402133.33,481748.34,479538.69,298303.38,412067.81,291109.84,297374.97,374002.11
431862,RS,893399.44,604525.10,661485.60,687797.76,674134.13,714640.84,669175.76,737403.17,957933.53
431870,RS,117575451.20,110944363.80,123872767.98,131717833.53,113336956.02,146042976.86,225882191.93,152802234.64,144538468.39
431880,RS,7757652.24,9851301.87,13452861.00,12990392.35,11263755.67,11665093.24,12206235.19,12511443.58,13370750.88
431890,RS,10424177.56,8039003.75,11946036.67,7787721.13,9100362.03,7618838.23,10861533.21,9157991.74,11094166.63
431900,RS,6279587.75,6128479.61,6331408.42,6405410.72,6249411.26,5940612.54,6369742.16,7037981.64,7901695.30
431910,RS,768231.96,768849.76,855634.06,832722.57,927152.04,846497.02,1055370.23,1002721.93,1114132.97
431912,RS,466582.72,547928.03,297556.54,297018.57,310631.95,399345.58,641031.31,722483.48,1332160.67
431915,RS,1636589.90,1574686.65,2338862.05,2037589.50,2159874.35,1748244.62,2294375.08,2737140.14,2805085.76
431920,RS,1058702.40,916378.94,948475.79,674640.29,705995.36,981639.45,811222.13,886160.94,1033236.17
431930,RS,660026.01,687045.56,609204.85,625738.70,660044.28,675799.48,835922.25,844456.94,908017.06
431935,RS,613330.40,654775.96,751229.04,763327.89,704043.77,660992.89,715562.55,701958.27,870021.80
431936,RS,88590.29,124903.28,143899.60,250361.49,164574.30,116751.72,133118.80,202801.89,181429.51
431937,RS,363920.67,403028.17,435869.20,424014.19,450523.28,542379.40,562374.88,715795.36,708011.00
431940,RS,3292408.75,2934271.17,2805152.84,3958468.71,4251308.93,4126245.86,4637914.25,5593721.09,4223174.50
431950,RS,8588445.58,6741974.08,7345444.87,7423683.34,7915324.07,7848656.46,8248332.02,8650493.00,9383772.40
431960,RS,4300468.56,4778488.78,4766008.47,5819356.46,5283732.31,5439765.28,6286220.91,7425481.93,7509316.12
431970,RS,469337.44,703267.64,548001.52,574189.22,534753.24,606671.54,575644.19,809999.87,970717.55
431971,RS,246779.02,275168.05,298446.84,283210.57,317062.77,349151.75,436716.81,380339.15,452359.39
431973,RS,210293.25,169199.77,156013.24,164567.51,114984.60,170375.03,144251.48,159318.79,132140.30
431975,RS,582912.15,615986.92,610713.10,658570.95,640296.38,649042.14,543093.75,606388.00,618857.74
431980,RS,1598419.87,2662627.00,2427875.62,2043962.71,1908101.78,2165900.01,1965576.25,2095227.73,2826097.66
431990,RS,22010958.25,22429487.02,21758097.94,25029389.43,24374918.98,24377894.95,27088768.38,27859138.72,31477180.12
432000,RS,27890764.21,31692970.47,32690064.24,31579434.97,29457886.06,30907189.35,31101790.13,35022773.39,38538085.41
432010,RS,6423642.94,7295916.28,7931986.22,7626294.82,7151134.53,6867456.28,8689151.55,8121958.72,10023603.18
432020,RS,1538979.43,1591151.46,1977249.64,2178120.54,2423678.88,1947973.75,2065010.38,2505110.72,5946319.49
432023,RS,254754.70,253148.80,291156.17,269284.39,437192.84,356252.24,333832.73,375753.72,350709.52
432026,RS,415093.88,460579.51,461044.66,512760.82,543261.58,472944.01,510030.85,512581.10,566996.27
432030,RS,1239862.49,1372897.74,1359947.40,1452209.10,1389265.97,1552998.72,1710547.69,1797285.54,1940745.31
432032,RS,313784.19,499343.75,395682.08,355803.01,322861.16,353800.66,422933.38,267852.72,338536.40
432035,RS,829457.51,781494.55,1226461.04,1493993.97,1448081.12,805646.01,523912.34,424865.98,807139.44
432040,RS,5709177.42,5616798.93,5958527.42,6871075.03,6727317.59,6859214.69,6980511.55,7333607.26,7204568.49
432045,RS,149213.10,258545.63,407650.29,457439.32,277972.03,227509.48,289971.47,326422.02,416449.70
432050,RS,1123935.97,1080029.87,1329740.56,1829817.73,1427532.37,1517535.78,1394213.57,1733560.30,1777044.66
432055,RS,517614.59,619019.72,899728.08,623852.29,764853.36,786280.39,621078.70,654906.67,768802.92
432057,RS,151391.18,133935.32,139618.73,147373.07,107456.94,127101.24,145461.03,171203.68,221745.98
432060,RS,559429.81,567970.77,525448.44,578566.31,294425.81,654343.47,690246.62,724068.02,760149.85
432065,RS,412724.77,456465.26,396918.80,535474.82,464842.15,468919.00,523102.69,791661.54,821123.54
432067,RS,1287383.03,960686.87,886670.14,926594.45,841623.11,888965.92,936446.55,934296.78,1053995.14
432070,RS,2857670.82,3582828.99,3901740.23,3755559.75,3408118.16,3133298.02,4002295.48,3734302.22,4157862.53
432080,RS,8152434.21,8452860.67,8529948.53,8249323.90,8999034.10,8084594.55,9516102.11,9981645.36,11105526.67
432085,RS,1395251.41,1418756.85,998022.28,507047.79,390225.48,395768.12,382304.45,459724.18,479337.56
432090,RS,8184944.40,9413523.41,10946766.14,10536490.67,11023222.90,10678582.83,12279373.19,15365482.51,13872023.28
432100,RS,3082040.25,2900039.17,3532268.37,4003989.49,4406973.97,3546009.16,4084460.41,4292621.18,5000828.17
432110,RS,4426603.45,4287621.93,5357776.50,5709340.10,5718168.52,5990826.86,5615837.27,6174316.92,6287843.01
432120,RS,17767655.77,18087994.23,17566233.65,17153419.90,16937183.23,15756659.91,16735673.92,16979336.69,18442474.03
432130,RS,5702396.72,5595218.67,6788402.21,5893498.93,6031351.07,7262303.42,7373075.48,7671792.40,8654318.67
