codibge,UF,iptu_2011,iptu_2012,iptu_2013,iptu_2014,iptu_2015,iptu_2016,iptu_2017,iptu_2018,iptu_2019
421960,SC,122051.05,137114.88,153605.43,178436.83,178598.40,175539.91,181810.49,171722.00,193031.10
421970,SC,1378587.98,1299005.35,1293451.43,1823095.97,1590586.06,1429472.64,1939708.98,1996549.13,2044095.97
421985,SC,66030.35,70113.04,71391.51,103762.99,149138.87,105249.43,105329.61,90677.74,104675.99
422000,SC,0.00,0.00,3839253.75,3985926.90,5265381.32,4733096.87,5680515.33,6043156.09,5719925.67
430003,RS,201321.98,219986.08,256224.78,321822.15,254772.61,246450.04,270281.66,297983.29,390440.82
430005,RS,133138.77,154320.07,144635.80,181987.95,190089.00,188186.59,207494.21,245341.49,248703.97
430010,RS,1244961.27,1513451.62,1358686.70,1444748.87,1328577.08,1368148.17,1496145.19,1539339.89,1780388.50
430020,RS,816544.91,667773.80,561182.84,705528.00,702865.75,743668.50,716139.21,743059.17,808482.43
430030,RS,252999.31,247040.01,250637.40,287001.93,258429.28,275854.30,291079.75,275735.09,295194.80
430040,RS,9120160.19,8693908.51,8642712.15,8413076.59,8123766.25,6772913.62,8351230.14,8041322.78,8931736.26
430045,RS,230590.18,228513.72,238142.63,241074.40,322938.88,281987.46,266146.73,291223.83,306990.11
430047,RS,115028.54,125077.65,122590.08,121825.51,140368.48,125178.16,249011.46,199121.17,209634.56
430050,RS,248009.63,215099.45,230287.45,247812.05,237583.43,243563.73,251355.70,254087.18,263412.06
430055,RS,84895.33,86489.94,94105.43,104198.09,109609.72,83178.07,95999.37,91263.05,148830.58
430057,RS,229328.22,221484.23,355940.79,265732.44,250340.15,244671.52,279142.37,324106.56,326264.72
430060,RS,17143205.17,15750631.48,16547588.60,15351813.74,14574663.09,13018645.53,18827810.03,17655072.23,22208522.69
430063,RS,126394.63,128742.35,136371.11,143857.09,167642.22,161427.61,171743.78,169829.22,143408.54
430064,RS,230985.40,214086.28,274113.66,235990.33,223487.00,205867.97,254049.24,271924.26,317625.10
430066,RS,36009.39,43378.70,38893.60,54469.22,62088.81,38680.77,44117.53,50351.41,48525.31
430070,RS,552359.74,619726.40,597103.99,681715.12,694281.94,696460.23,724140.70,720888.78,738726.47
430080,RS,1008418.28,1166671.13,1127680.42,1348369.99,1332547.02,1253556.84,1407755.61,1420845.78,1511738.93
430085,RS,1768632.87,1862772.37,1869952.74,1680397.61,2043589.78,1685593.07,1890066.93,1939496.79,2079462.44
430087,RS,533118.43,451148.16,563629.05,707750.04,665558.06,690088.42,641666.57,695460.49,838965.29
430090,RS,216248.93,218066.11,251962.06,317956.50,292768.26,323039.37,385771.39,411961.27,501572.90
430100,RS,2132760.05,2256786.02,3107453.55,2967143.29,2622759.74,2458815.20,2831298.58,2823500.34,3154935.03
430105,RS,9378097.63,10422014.49,10606147.96,13068277.45,13406730.11,16442311.41,19230153.95,20486332.98,21940130.94
430107,RS,41098.14,46758.87,43371.49,41923.54,45808.95,55337.26,58914.94,54717.08,44066.04
430110,RS,1406431.07,1293339.21,1603569.26,1637501.26,1436954.59,1188252.41,1630134.23,1487360.71,1631597.84
430120,RS,566224.64,510952.70,584057.58,585892.07,497937.33,508291.11,595703.23,842904.54,1089109.13
430130,RS,719054.95,693063.62,882670.46,968730.94,883789.46,863524.49,970096.00,1511759.67,974562.53
430140,RS,383994.05,386055.85,723030.85,390922.93,406419.51,391109.14,500409.85,509875.57,527407.73
430150,RS,1007998.16,1020690.02,1117095.27,1166089.07,1059801.40,1075191.81,1157629.61,1151510.64,1100667.65
430155,RS,269635.76,247214.15,282577.55,252210.62,272843.44,272640.84,305215.49,318442.84,330995.56
430160,RS,23178382.26,23051025.10,27104884.89,24622388.18,25647139.64,25589094.36,25812005.75,27239968.79,31493515.57
430163,RS,8640320.88,7659410.85,7934891.79,7708135.77,8041608.67,7263257.12,8550330.15,7627331.92,8504325.51
430165,RS,184977.44,262102.16,260432.51,362659.86,436182.86,461497.14,366626.51,477960.10,518983.13
430170,RS,364057.39,341386.10,428998.39,436046.99,448727.67,459819.56,477025.49,629326.29,810956.26
430175,RS,98097.73,99971.25,97554.86,84730.29,86634.35,118199.05,87110.09,72407.49,68579.33
430180,RS,303172.72,314968.03,295202.84,350252.81,349179.29,342842.16,342291.05,303140.65,333417.07
430185,RS,89914.55,78040.81,89396.32,107520.03,99711.93,97802.48,75031.64,96503.11,105051.22
430187,RS,154934.79,167327.44,157089.78,135960.68,170895.90,158776.82,209391.35,267366.95,179408.06
430190,RS,1042053.64,885741.01,984692.82,1417062.10,1229845.37,1343752.94,1441720.86,1361992.99,1826346.88
430192,RS,44083.07,51405.23,50249.73,55913.80,58816.54,61415.43,59246.33,57907.92,65302.84
430195,RS,203330.61,203028.86,210776.03,159358.41,226403.26,197381.15,211880.35,234545.08,240436.45
430200,RS,393229.51,402272.98,434026.51,401694.94,357300.01,289958.01,306918.26,19340.99,414364.43
430205,RS,10492.88,13237.79,15682.86,15656.32,17114.30,16564.80,19554.10,20167.02,18567.34
430210,RS,11159283.61,10224993.31,11027310.33,11082134.84,10721562.59,11733332.45,14094865.93,14741585.72,15380979.96
430215,RS,86127.47,87422.65,93167.91,76979.76,100451.47,78633.23,76973.66,74542.35,85262.02
430220,RS,621999.44,651739.90,710043.94,716834.50,715969.32,723071.90,776923.93,735042.16,926344.83
430222,RS,34283.58,38680.03,38620.70,46403.47,45079.65,48794.02,59982.76,63619.81,60745.14
430223,RS,85095.63,89630.79,80941.66,95040.98,102646.97,155783.56,106525.07,139557.04,163100.66
430225,RS,54418.63,56358.82,54962.42,58022.68,44488.13,41052.43,60996.94,58760.73,49033.69
430230,RS,1219717.87,1404172.80,1264760.58,1260906.59,1366053.98,1083248.91,1166376.63,1189921.51,1189234.04
430235,RS,1786147.68,1839630.22,1585080.66,1722950.68,2131055.91,2121228.91,2079291.55,2094095.23,2412363.73
430237,RS,106514.06,109852.85,153182.33,227169.63,206165.90,135612.85,150308.66,207918.40,202133.74
430240,RS,1390696.40,1308828.14,1393063.32,1260026.96,1366467.00,955586.55,1022609.25,1118387.42,1401572.92
430245,RS,282777.26,341822.45,329160.04,309721.55,264257.73,252291.05,284084.65,293138.66,326575.84
430250,RS,477623.74,385184.84,639858.24,467331.38,487394.44,454271.88,644514.81,505040.41,670912.96
430258,RS,20127.74,22529.90,47460.96,48025.97,35206.24,35758.72,39651.15,33907.19,40260.07
430260,RS,77291.72,73719.10,88146.86,107416.06,101564.89,109974.64,107391.54,131092.07,106549.22
430265,RS,370529.13,399726.92,398332.03,389554.73,399483.05,470697.01,626037.07,563060.72,608848.90
430270,RS,961776.89,952489.39,1010957.82,1190551.04,1668716.05,1225800.37,1333294.58,2374328.66,2341913.13
430280,RS,3114518.04,2951519.58,2780461.98,2657407.17,2758898.08,3211738.39,3361593.64,3190215.01,3511406.91
430290,RS,1704303.82,1275121.50,2148275.35,1083904.94,1887947.14,1055002.43,2271681.59,639838.69,1213559.19
430300,RS,10946699.40,11385247.55,11313316.79,14905333.50,12912513.53,12816106.54,15217722.76,13719792.39,14591428.13
430310,RS,21857747.90,19086823.99,19785179.39,20186066.86,26538883.22,29232155.47,27678622.48,37522232.75,35555842.53
430320,RS,98146.61,100016.46,93740.14,125438.61,107689.04,116703.40,100086.64,113148.36,124261.11
430330,RS,351376.82,342414.53,363710.08,361425.68,448204.94,421895.85,492093.80,472711.31,488361.14
430340,RS,260344.62,223421.34,286666.94,236879.80,228358.43,230289.37,303182.59,281832.35,298829.86
